x,y,z
4092.842,0.0,160.808
4092.842,0.0,160.808
4108.83,0.0,161.436
4107.23,67.333,186.22
4107.23,67.333,186.22
4099.239,67.202,185.858
4096.393,134.383,210.536
4104.378,134.645,210.947
4104.378,134.645,210.947
4092.299,201.524,235.15
4092.299,201.524,235.15
4092.299,201.524,235.15
4094.925,269.127,260.2
4102.892,269.65,260.706
4072.418,334.946,283.603
4072.418,334.946,283.603
4088.327,336.255,284.71
4080.483,403.28,309.135
4088.422,404.065,309.736
4104.3,405.634,310.94
4079.318,471.098,334.115
4055.555,468.354,332.168
4055.555,468.354,332.168
4053.169,535.898,356.999
4045.268,534.853,356.303
4037.368,533.809,355.607
4029.811,600.603,379.958
4021.932,599.429,379.215
3439.841,570.892,345.814
3404.411,623.014,363.655
3412.237,624.446,364.491
3384.845,619.433,361.565
3356.417,671.833,379.784
2384.734,560.196,300.412
2241.727,526.602,282.397
2169.518,547.841,287.397
1963.306,530.683,272.963
1905.899,515.166,264.982
1840.387,530.532,268.078
1789.001,515.718,260.593
1741.422,502.002,253.662
1685.997,516.665,256.896
1644.367,503.908,250.553
1608.414,492.891,245.074
1566.653,508.904,249.343
1530.918,497.297,243.655
1487.442,510.874,246.957
1459.412,501.247,242.304
1431.382,491.62,237.65
1395.702,505.704,241.445
1369.718,496.289,236.95
1345.591,487.547,232.776
1313.889,501.204,236.569
1289.933,492.065,232.257
1256.507,503.714,235.242
1234.56,494.916,231.133
1216.269,487.584,227.708
1186.77,499.161,230.821
1168.625,491.528,227.292
1150.478,483.896,223.763
1121.237,494.067,226.367
1103.239,486.136,222.734
1074.145,495.208,224.938
1059.87,488.627,221.948
1043.812,481.224,218.585
1018.545,490.703,221.091
1002.63,483.036,217.636
988.483,476.22,214.566
965.231,485.412,217.044
949.465,477.483,213.498
928.076,486.715,216.065
914.198,479.437,212.833
900.32,472.159,209.603
879.172,480.385,211.807
867.153,473.817,208.911
856.849,468.188,206.43
837.618,476.47,208.731
827.424,470.671,206.189
806.589,477.31,207.821
798.187,472.338,205.656
788.105,466.371,203.058
769.16,473.194,204.832
759.193,467.062,202.178
752.548,462.974,200.407
735.44,470.099,202.364
725.59,463.803,199.654
