x,y,z
-1842.358,862.863,-624.154
-1863.137,872.595,-631.193
-1883.915,882.326,-638.232
-1927.116,866.529,-626.872
-1948.101,875.965,-633.698
-1965.588,883.828,-639.388
-2012.574,868.049,-628.044
-2044.351,881.756,-637.96
-2069.066,892.416,-645.673
-2109.353,871.824,-630.852
-2137.859,883.605,-639.377
-2169.926,896.859,-648.967
-2210.482,874.535,-632.896
-2242.83,887.334,-642.158
-2275.179,900.132,-651.42
-2330.468,881.494,-638.022
-2366.711,895.204,-647.945
-2411.211,870.798,-630.375
-169.41,-58.304,41.917
-170.33,-58.621,42.145
-168.13,-60.692,43.642
-165.39,-59.702,42.931
-164.987,-62.376,44.86
-165.893,-62.719,45.106
-164.52,-65.057,46.794
-163.622,-64.701,46.538
-161.314,-66.639,47.938
-159.531,-65.902,47.409
-154.558,-66.627,47.935
-146.102,-65.658,47.245
-146.978,-66.051,47.527
-147.853,-66.444,47.81
-147.267,-68.932,49.605
-148.134,-69.337,49.897
-149.866,-70.148,50.48
-150.732,-70.554,50.772
-147.478,-71.84,51.703
-144.905,-70.587,50.802
-139.973,-70.908,51.037
-135.071,-71.111,51.188
-132.554,-69.786,50.234
-131.715,-69.344,49.916
-129.374,-70.744,50.928
-128.545,-70.29,50.601
-125.375,-71.168,51.238
-124.555,-70.703,50.902
-122.207,-71.977,51.824
-121.398,-71.501,51.481
-121.398,-71.501,51.481
-119.043,-72.719,52.362
-118.243,-72.231,52.011
-115.884,-73.394,52.852
-115.096,-72.895,52.493
-112.733,-74.001,53.293
-111.955,-73.491,52.925
-111.955,-73.491,52.925
-109.591,-74.542,53.686
-108.825,-74.021,53.31
-106.461,-75.017,54.031
-105.706,-74.485,53.648
-102.601,-74.884,53.938
-101.858,-74.342,53.548
-98.048,-74.112,53.385
-96.585,-73.006,52.589
-93.56,-73.234,52.756
-92.12,-72.108,51.945
-89.849,-72.826,52.465
-88.433,-71.68,51.639
-86.184,-72.336,52.115
-85.488,-71.753,51.694
-84.793,-71.17,51.274
-83.25,-72.358,52.133
-82.567,-71.765,51.706
-80.342,-72.319,52.108
-79.672,-71.717,51.673
-77.46,-72.221,52.038
-76.804,-71.609,51.598
-74.608,-72.063,51.928
-74.608,-72.063,51.928
-73.966,-71.442,51.479
-71.788,-71.847,51.774
-71.158,-71.217,51.32
-69.615,-72.212,52.039
-68.999,-71.573,51.579
-66.846,-71.891,51.81
-66.846,-71.891,51.81
-66.245,-71.243,51.343
-64.701,-72.169,52.013
-64.114,-71.513,51.54
-62.566,-72.409,52.187
-61.991,-71.745,51.709
-59.879,-71.938,51.85
-59.879,-71.938,51.85
-59.879,-71.938,51.85
-57.777,-72.094,51.965
-57.777,-72.094,51.965
-55.687,-72.212,52.051
-55.157,-71.524,51.556
-53.609,-72.294,52.112
-53.094,-71.598,51.611
-53.094,-71.598,51.611
-51.045,-71.636,51.64
-51.045,-71.636,51.64
-49.497,-72.347,52.154
-49.011,-71.638,51.643
-49.011,-71.638,51.643
-46.992,-71.604,51.62
-46.992,-71.604,51.62
-45.444,-72.257,52.093
-44.99,-71.535,51.572
-43.444,-72.16,52.024
-43.444,-72.16,52.024
-43.444,-72.16,52.024
-41.462,-72.028,51.931
-41.462,-72.028,51.931
-41.462,-72.028,51.931
-39.906,-72.603,52.347
648.614,-1240.673,895.697
644.711,-1233.208,890.308
640.809,-1225.743,884.919
663.846,-1210.55,873.977
660.595,-1204.623,869.698
659.782,-1203.141,868.628
688.113,-1198.019,864.957
691.491,-1203.899,869.203
718.176,-1195.376,863.076
719.051,-1196.833,864.129
720.803,-1199.749,866.234
749.24,-1193.689,861.887
751.054,-1196.58,863.974
752.869,-1199.47,866.06
781.389,-1192.917,861.358
784.202,-1197.213,864.46
787.954,-1202.942,868.596
816.636,-1195.851,863.505
818.573,-1198.688,865.554
820.51,-1201.526,867.602
850.247,-1195.337,863.164
851.246,-1196.742,864.178
879.966,-1188.672,858.381
885.112,-1195.623,863.401
888.2,-1199.794,866.412
916.011,-1189.781,859.213
918.129,-1192.532,861.199
921.306,-1196.658,864.179
951.28,-1188.867,858.583
951.28,-1188.867,858.583
948.015,-1184.786,855.637
981.199,-1180.59,852.639
992.375,-1194.036,862.349
995.727,-1198.07,865.262
1022.513,-1185.113,855.938
1025.953,-1189.099,858.817
1032.831,-1197.07,864.574
1064.318,-1188.82,858.649
1069.017,-1194.069,862.439
1098.169,-1182.632,854.214
1102.981,-1187.814,857.956
1108.995,-1194.29,862.634
1138.229,-1182.236,853.963
1141.921,-1186.07,856.733
1145.612,-1189.905,859.502
1177.345,-1179.801,852.24
1183.634,-1186.103,856.793
1189.923,-1192.406,861.346
1220.552,-1180.342,852.668
1225.692,-1185.312,856.259
1230.831,-1190.282,859.848
1261.516,-1177.566,850.701
1269.383,-1184.911,856.007
1304.065,-1175.191,849.024
1312.089,-1182.423,854.249
1316.102,-1186.039,856.862
1346.891,-1171.965,846.735
1353.707,-1177.896,851.02
1361.886,-1185.014,856.162
1396.913,-1173.714,848.04
1405.245,-1180.715,853.099
1412.187,-1186.548,857.313
1443.174,-1170.957,846.092
1450.242,-1176.692,850.235
1455.896,-1181.279,853.55
1492.612,-1169.497,845.081
1506.992,-1180.763,853.222
1512.744,-1185.27,856.478
1543.883,-1168.093,844.114
1558.503,-1179.155,852.106
1595.541,-1165.589,842.352
1604.454,-1172.101,847.057
1616.339,-1180.783,853.332
1647.554,-1161.973,839.787
1656.606,-1168.357,844.402
1665.659,-1174.742,849.016
1706.015,-1161.403,839.428
1718.267,-1169.744,845.456
1727.455,-1175.999,849.977
1764.945,-1159.526,838.125
1777.374,-1167.692,844.027
1789.803,-1175.857,849.929
1830.606,-1160.322,838.756
1843.209,-1168.31,844.531
1855.812,-1176.299,850.306
1893.633,-1157.652,836.885
1906.407,-1165.461,842.53
1950.624,-1149.731,831.22
1963.564,-1157.358,836.734
1976.504,-1164.985,842.248
2020.943,-1147.987,830.023
2037.321,-1157.29,836.749
2056.974,-1168.453,844.82
2095.084,-1146.408,828.948
2111.66,-1155.477,835.506
2128.234,-1164.547,842.065
2173.112,-1144.838,827.884
2196.588,-1157.205,836.827
2213.355,-1166.039,843.215
2255.087,-1143.12,826.715
2275.434,-1153.434,834.175
2320.496,-1131.067,818.076
2347.917,-1144.433,827.744
2368.482,-1154.457,834.994
2410.303,-1128.859,816.562
2427.618,-1136.968,822.428
2458.786,-1151.566,832.987
2507.698,-1127.589,815.731
2525.186,-1135.452,821.419
2553.166,-1148.033,830.52
2612.814,-1126.941,815.355
2644.592,-1140.647,825.272
2669.308,-1151.308,832.985
2718.643,-1123.652,813.074
1606.643,-635.638,460.007
1599.454,-632.794,457.949
1605.594,-607.313,439.57
1605.594,-607.313,439.57
1609.3,-581.192,420.728
1596.513,-576.574,417.384
1585.554,-572.616,414.52
1575.562,-542.478,392.766
1558.996,-536.774,388.637
1557.156,-536.141,388.178
1568.471,-514.015,372.225
1575.887,-516.446,373.984
1594.426,-522.522,378.385
1625.978,-506.265,366.683
1644.646,-512.077,370.893
1676.1,-494.82,358.469
1807.513,-504.813,365.793
3794.023,-940.822,682.103
2657.863,-577.624,419.069
2657.863,-577.624,419.069
2650.136,-575.945,417.85
2677.674,-541.483,393.01
1615.315,-302.463,219.634
3300.778,-472.035,343.449
