x,y,z
3276.107,791.365,928.913
3294.849,795.892,934.227
3309.843,799.514,938.479
3291.594,840.867,980.636
3306.488,844.672,985.073
3310.212,845.623,986.182
3294.477,888.035,1029.52
3305.57,891.025,1032.987
3298.174,889.032,1030.675
3277.633,930.358,1072.727
3292.314,934.526,1077.532
4552.036,1425.303,1627.598
4501.459,1409.466,1609.514
4443.655,1391.367,1588.846
4377.516,1436.292,1633.084
4348.858,1426.889,1622.392
4253.729,1460.569,1654.022
4204.02,1443.501,1634.693
4154.31,1426.432,1615.364
4066.863,1459.58,1646.702
4031.682,1446.954,1632.457
3968.357,1424.227,1606.817
3860.639,1446.68,1626.41
3867.607,1449.291,1629.345
3853.67,1444.069,1623.475
3766.912,1472.371,1649.824
3732.417,1458.888,1634.716
3704.82,1448.101,1622.629
3632.203,1479.568,1652.73
3604.893,1468.444,1640.303
3525.438,1495.42,1665.527
3491.67,1481.096,1649.574
3457.901,1466.772,1633.621
3389.044,1495.888,1661.415
3355.654,1481.15,1645.047
3322.264,1466.413,1628.678
3263.745,1498.057,1659.436
3243.945,1488.969,1649.369
3210.944,1473.822,1632.59
3152.542,1503.874,1661.705
3132.981,1494.543,1651.395
3110.16,1483.657,1639.366
3051.815,1512.248,1666.972
3016.403,1494.701,1647.63
2993.869,1483.534,1635.321
2942.199,1513.746,1664.828
2919.957,1502.303,1652.243
2852.358,1523.098,1671.473
2836.687,1514.729,1662.289
2824.148,1508.034,1654.942
2766.126,1532.457,1678.248
2750.673,1523.896,1668.872
2732.13,1513.623,1657.621
2677.335,1538.452,1681.456
2652.968,1524.451,1666.153
2634.693,1513.949,1654.676
2580.174,1537.409,1677.103
2556.172,1523.107,1661.503
2544.172,1515.956,1653.702
2495.795,1541.782,1678.783
2481.027,1532.659,1668.85
2432.41,1557.614,1693.022
2417.88,1548.309,1682.908
2403.349,1539.004,1672.795
2349.047,1559.116,1691.767
2329.043,1545.839,1677.36
2311.897,1534.459,1665.012
2263.625,1557.147,1686.852
2252.391,1549.42,1678.48
2238.349,1539.76,1668.016
2187.378,1559.486,1686.702
2173.587,1549.653,1676.067
2165.311,1543.754,1669.687
2114.486,1562.459,1687.32
2109.071,1558.457,1682.999
2100.949,1552.456,1676.518
2050.149,1570.248,1693.208
2042.182,1564.146,1686.628
1988.73,1579.029,1700.222
1975.716,1568.695,1689.094
1965.303,1560.428,1680.193
1917.355,1578.415,1697.18
1907.156,1570.019,1688.153
1899.507,1563.722,1681.382
1851.677,1580.816,1697.451
1844.19,1574.424,1690.588
1834.208,1565.902,1681.437
1786.525,1582.111,1696.596
1769.44,1566.982,1680.371
1745.034,1545.368,1657.194
1700.471,1562.59,1673.505
1695.7,1558.207,1668.81
1648.626,1572.553,1682.062
1641.64,1565.89,1674.935
1634.655,1559.226,1667.808
1585.489,1570.495,1677.806
1583.218,1568.245,1675.402
1578.675,1563.745,1670.595
1534.088,1578.778,1684.641
1529.66,1574.222,1679.78
1520.806,1565.109,1670.056
1474.179,1577.08,1680.867
1469.868,1572.469,1675.952
1463.403,1565.552,1668.579
1416.975,1576.745,1678.592
1414.879,1574.413,1676.109
1410.687,1569.748,1671.143
1364.364,1580.224,1680.418
1358.255,1573.148,1672.893
1314.033,1585.297,1683.969
1314.033,1585.297,1683.969
1308.105,1578.145,1676.372
1260.079,1584.82,1681.658
1258.164,1582.411,1679.102
1254.334,1577.594,1673.99
1210.306,1588.385,1683.667
1208.452,1585.953,1681.089
1204.746,1581.088,1675.933
1158.991,1588.776,1682.342
1155.409,1583.864,1677.142
1153.617,1581.409,1674.542
1109.801,1590.887,1682.868
1104.615,1583.453,1675.004
1101.158,1578.497,1669.762
1062.567,1594.793,1685.317
1017.119,1600.563,1689.754
872.961,1373.712,1450.261
842.589,1392.304,1468.467
962.52,1590.479,1677.483
920.57,1600.035,1685.954
919.097,1597.475,1683.256
919.097,1597.475,1683.256
875.653,1603.909,1688.447
567.779,1098.286,1155.101
566.436,1095.69,1152.37
565.765,1094.391,1151.005
540.522,1106.783,1162.972
736.881,1601.44,1681.217
738.091,1604.07,1683.978
696.259,1610.82,1689.549
693.972,1605.53,1684.001
693.972,1605.53,1684.001
650.043,1606.411,1683.432
647.891,1601.092,1677.858
647.891,1601.092,1677.858
607.329,1609.391,1685.075
606.319,1606.717,1682.276
606.319,1606.717,1682.276
565.64,1614.513,1688.968
564.699,1611.827,1686.158
563.757,1609.141,1683.347
523.042,1616.42,1689.506
522.168,1613.722,1686.685
479.751,1615.078,1686.658
479.751,1615.078,1686.658
479.751,1615.078,1686.658
438.934,1621.34,1691.759
438.198,1618.619,1688.921
438.198,1618.619,1688.921
396.648,1621.647,1690.653
395.981,1618.917,1687.806
395.981,1618.917,1687.806
354.517,1621.424,1689.002
354.517,1621.424,1689.002
353.918,1618.685,1686.149
227.024,1357.76,1411.996
271.232,1622.152,1686.948
230.357,1625.883,1689.43
229.967,1623.123,1686.562
189.091,1626.354,1688.526
189.734,1631.886,1694.27
189.734,1631.886,1694.27
148.411,1631.86,1692.851
147.907,1626.319,1687.102
147.655,1623.548,1684.228
106.816,1625.78,1685.16
106.816,1625.78,1685.16
106.998,1628.554,1688.036
66.17,1633.071,1691.332
66.058,1630.294,1688.456
66.17,1633.071,1691.332
25.182,1637.096,1694.113
25.182,1637.096,1694.113
25.182,1637.096,1694.113
-15.926,1637.844,1693.502
-15.926,1637.844,1693.502
-57.029,1638.093,1692.375
-57.029,1638.093,1692.375
-56.932,1635.312,1689.502
-97.948,1635.063,1687.862
-98.448,1643.405,1696.474
-98.614,1646.186,1699.344
-139.643,1642.654,1694.309
-139.643,1642.654,1694.309
-139.88,1645.434,1697.176
-180.796,1641.403,1691.628
-181.103,1644.181,1694.49
-181.103,1644.181,1694.49
-222.269,1642.426,1691.289
-222.269,1642.426,1691.289
-221.894,1639.652,1688.432
-263.369,1640.172,1687.571
-263.814,1642.942,1690.422
-263.814,1642.942,1690.422
-305.931,1645.715,1691.871
-233.508,985.96,1011.92
-254.158,968.283,992.941
-254.63,883.293,905.018
-252.261,875.076,896.599
-257.783,820.379,839.84
-254.781,810.824,830.057
-237.952,699.135,715.104
-253.377,691.015,706.185
-251.886,686.95,702.032
-252.383,688.305,703.416
-270.577,688.126,702.618
-271.107,689.475,703.995
-271.638,690.824,705.373
-289.386,689.056,702.946
-290.515,691.742,705.686
-292.208,695.772,709.798
-311.296,696.422,709.827
-311.894,697.759,711.189
-311.894,697.759,711.189
-329.86,695.491,708.238
-330.491,696.821,709.592
-331.121,698.15,710.946
-349.12,695.641,707.745
-349.784,696.964,709.09
-350.447,698.286,710.435
-369.167,696.85,708.319
-369.167,696.85,708.319
