x,y,z
1351.475,0.0,82.66
1351.475,0.0,82.66
1351.475,0.0,82.66
1348.01,11.356,103.169
1348.01,11.356,103.169
1348.01,11.356,103.169
1344.14,22.676,123.586
1344.14,22.676,123.586
1344.14,22.676,123.586
1341.855,34.005,144.119
1341.855,34.005,144.119
1343.842,34.056,144.333
862.702,43.97,132.996
848.883,43.266,130.865
834.579,49.74,141.802
822.769,49.036,139.796
812.246,55.462,150.879
804.398,54.926,149.421
798.512,54.524,148.328
789.8,60.835,159.309
783.935,60.383,158.126
778.07,59.932,156.944
771.154,66.192,167.944
767.259,65.858,167.096
758.215,71.815,177.413
754.338,71.448,176.505
752.399,71.264,176.051
745.132,77.252,186.532
741.271,76.851,185.566
739.341,76.651,185.082
731.912,82.5,195.299
729.991,82.284,194.787
728.071,82.067,194.275
722.389,88.025,204.799
722.389,88.025,204.799
714.606,93.675,214.632
708.905,92.928,212.92
707.004,92.679,212.349
708.539,99.497,224.884
714.207,100.293,226.683
710.429,99.762,225.483
706.034,105.819,236.266
704.157,105.538,235.638
704.157,105.538,235.638
701.426,111.844,246.977
699.559,111.546,246.321
699.559,111.546,246.321
694.75,117.521,256.928
696.602,117.834,257.612
696.602,117.834,257.612
693.406,124.118,268.883
693.406,124.118,268.883
688.147,130.05,279.386
689.973,130.395,280.127
691.798,130.74,280.868
686.299,136.665,291.341
688.111,137.025,292.11
689.921,137.386,292.879
685.98,143.675,304.114
685.98,143.675,304.114
687.776,144.052,304.91
683.578,150.344,316.135
687.139,151.127,317.782
687.139,151.127,317.782
684.434,157.841,329.868
686.197,158.248,330.718
687.961,158.655,331.568
683.202,164.991,342.838
684.949,165.413,343.714
681.66,172.181,355.862
683.39,172.618,356.765
686.85,173.492,358.572
681.517,179.86,369.865
684.942,180.763,371.724
688.367,181.667,373.583
682.718,188.069,384.918
686.106,189.002,386.828
689.494,189.936,388.739
685.201,196.85,401.092
688.552,197.812,403.053
691.902,198.775,405.014
687.246,205.745,417.447
692.214,207.232,420.465
695.527,208.224,422.476
690.484,215.26,435.007
686.767,222.812,448.56
719.406,242.761,486.956
719.406,242.761,486.956
719.406,242.761,486.956
709.811,249.006,497.763
711.385,249.558,498.866
701.553,255.74,509.545
703.105,256.306,510.673
704.657,256.871,511.8
697.627,264.161,524.672
699.156,264.74,525.822
700.686,265.32,526.973
693.308,272.609,539.822
696.322,273.795,542.17
699.336,274.98,544.517
690.079,281.686,556.188
693.046,282.898,558.579
700.467,285.927,564.561
687.866,291.427,573.826
689.326,292.046,575.043
696.628,295.139,581.135
685.158,301.233,591.552
688.031,302.496,594.032
689.466,303.127,595.272
680.538,310.455,608.097
684.773,312.388,611.882
675.464,319.708,624.67
679.625,321.677,628.517
683.785,323.647,632.366
675.378,331.661,646.475
680.825,334.335,651.688
687.633,337.679,658.205
936.464,477.138,927.889
912.888,482.623,936.455
