x,y,z
-3671.799,0.0,-38.452
-3675.798,0.0,-38.494
-3699.797,0.0,-38.746
-3678.86,-53.075,-74.693
-3638.872,-52.498,-73.882
-3608.859,-104.173,-108.779
-3592.872,-103.711,-108.297
-3596.869,-103.827,-108.418
-3617.716,-156.738,-144.691
-3649.662,-158.122,-145.968
-3661.64,-158.641,-146.448
-3665.332,-211.908,-182.784
-3737.123,-216.058,-186.364
-3765.042,-217.672,-187.756
-3751.52,-271.39,-224.218
-3767.45,-272.542,-225.171
-3775.414,-273.118,-225.647
-3768.683,-327.559,-262.673
-3760.732,-326.868,-262.12
-3752.87,-381.094,-298.989
-3756.837,-381.497,-299.304
-3752.87,-381.094,-298.989
-3767.609,-437.965,-337.895
-3763.652,-437.505,-337.541
-3700.331,-430.144,-331.861
-3646.887,-477.806,-363.779
-3650.834,-478.323,-364.174
-3646.887,-477.806,-363.779
-3635.865,-530.382,-399.491
-3635.865,-530.382,-399.491
-3647.67,-532.104,-400.789
-3647.267,-586.582,-437.906
-3647.267,-586.582,-437.906
-3643.346,-585.951,-437.435
-3622.226,-637.097,-472.066
-3622.226,-637.097,-472.066
-3607.847,-689.31,-507.495
-3814.122,-728.72,-536.51
-3805.51,-785.296,-574.972
-3813.26,-786.895,-576.143
-3813.26,-786.895,-576.143
-3803.383,-843.568,-614.658
-3772.525,-836.723,-609.67
-3760.952,-834.157,-607.8
-3788.436,-899.295,-652.474
-3811.466,-904.761,-656.441
-3799.951,-902.028,-654.458
-3726.479,-943.261,-681.786
-3650.116,-923.932,-667.815
-3546.145,-954.061,-687.256
-3477.804,-935.674,-674.012
-3413.259,-918.309,-661.503
-3336.382,-951.351,-683.213
-3272.221,-933.056,-670.075
-3204.285,-913.685,-656.164
-3135.416,-945.159,-676.89
-3086.659,-930.461,-666.363
-3022.901,-911.241,-652.599
-2954.452,-939.397,-671.068
-2898.567,-921.628,-658.374
-2826.568,-946.053,-674.264
-2789.572,-933.67,-665.439
-2741.475,-917.572,-653.966
-2677.326,-941.569,-669.646
-2644.273,-929.945,-661.379
-2603.875,-915.737,-651.274
-2536.495,-935.77,-664.22
-2503.695,-923.67,-655.63
-2474.539,-912.914,-647.995
-2418.478,-934.59,-662.179
-2371.483,-916.429,-649.312
-2342.562,-905.253,-641.393
-2297.754,-928.852,-657.006
-2261.907,-914.362,-646.756
-2213.595,-934.935,-660.269
-2188.723,-924.43,-652.851
-2156.746,-910.924,-643.312
-2112.314,-931.124,-656.611
-2091.191,-921.812,-650.045
-2070.068,-912.501,-643.479
-2022.375,-929.493,-654.558
-2001.453,-919.877,-647.786
-1980.532,-910.262,-641.015
-1943.543,-930.519,-654.431
-1922.83,-920.602,-647.457
-1878.983,-936.373,-657.744
-1858.485,-926.158,-650.569
-1834.571,-914.24,-642.197
-1794.518,-930.146,-652.617
-1781.0,-923.139,-647.701
-1760.723,-912.629,-640.326
-1722.622,-928.077,-650.455
-1709.255,-920.876,-645.407
-1689.205,-910.074,-637.836
-1649.738,-923.302,-646.437
-1638.179,-916.833,-641.908
-1606.979,-933.779,-653.129
-1593.927,-926.195,-647.824
-1577.612,-916.715,-641.194
-1541.74,-929.71,-649.672
-1530.462,-922.909,-644.92
-1517.575,-915.137,-639.49
-1485.14,-929.023,-648.612
-1472.42,-921.066,-643.056
-1458.109,-912.114,-636.806
-1427.494,-925.977,-645.932
-1418.081,-919.871,-641.673
-1384.372,-930.918,-648.847
-1373.545,-923.637,-643.773
-1365.811,-918.437,-640.149
-1335.396,-930.654,-648.155
-1324.725,-923.217,-642.975
-1317.103,-917.906,-639.276
-1288.373,-930.351,-647.456
-1276.359,-921.677,-641.419
-1267.35,-915.171,-636.891
-1240.308,-927.875,-645.266
-1234.395,-923.452,-642.19
-1207.305,-935.574,-650.166
-1195.668,-926.556,-643.899
-1186.941,-919.793,-639.199
-1161.492,-932.275,-647.438
-1154.339,-926.534,-643.451
-1147.188,-920.794,-639.465
-1120.42,-931.451,-646.446
-1110.58,-923.27,-640.769
-1106.362,-919.764,-638.336
-1079.752,-929.732,-644.849
-1072.848,-923.787,-640.726
-1065.945,-917.842,-636.603
-1040.868,-928.337,-643.491
-1035.446,-923.501,-640.14
-1010.363,-933.477,-646.675
-1003.715,-927.336,-642.421
-997.068,-921.195,-638.166
-972.147,-930.541,-644.273
-966.935,-925.551,-640.819
-961.721,-920.562,-637.365
-936.929,-929.323,-643.076
-933.1,-925.525,-640.446
-929.271,-921.727,-637.818
-902.072,-927.377,-641.384
-898.324,-923.524,-638.719
-874.925,-932.528,-644.609
-871.259,-928.621,-641.909
-866.371,-923.411,-638.307
-843.067,-931.902,-643.849
-838.29,-926.622,-640.201
-834.707,-922.662,-637.466
-810.346,-929.307,-641.738
-808.013,-926.633,-639.891
-805.682,-923.958,-638.045
-782.551,-931.472,-642.923
-776.864,-924.702,-638.25
-753.812,-931.751,-642.812
-750.486,-927.64,-639.976
-747.161,-923.53,-637.14
-725.308,-931.488,-642.334
-722.07,-927.33,-639.466
-718.832,-923.171,-636.599
-694.954,-927.887,-639.562
-693.904,-926.486,-638.596
-691.805,-923.682,-636.664
-669.062,-929.365,-640.298
-666.002,-925.115,-637.37
-662.942,-920.864,-634.442
-642.336,-928.949,-639.735
-641.346,-927.518,-638.75
-618.717,-932.386,-641.829
-616.799,-929.495,-639.839
-614.88,-926.604,-637.85
-593.298,-932.508,-641.647
-590.513,-928.13,-638.634
-588.656,-925.211,-636.626
-567.172,-930.711,-640.148
-564.479,-926.293,-637.11
-562.684,-923.348,-635.084
-542.176,-929.932,-639.356
-540.443,-926.961,-637.313
-519.06,-931.714,-640.329
-517.392,-928.719,-638.27
-515.722,-925.723,-636.21
-494.436,-930.096,-638.968
-492.831,-927.076,-636.893
-492.027,-925.566,-635.855
-471.585,-931.096,-639.409
-470.814,-929.574,-638.365
-469.274,-926.531,-636.275
-448.11,-930.189,-638.547
-446.634,-927.124,-636.442
-445.896,-925.592,-635.39
-425.529,-930.434,-638.477
-425.529,-930.434,-638.477
-404.425,-933.42,-640.29
-403.752,-931.867,-639.225
-402.407,-928.761,-637.094
-380.77,-929.83,-637.596
-380.13,-928.268,-636.525
-379.49,-926.705,-635.454
-359.216,-930.561,-637.869
