x,y,z
-43.499803362582846,nan,nan
-155.03443647982695,336.77868995140193,0.0
-147.37095306374044,344.8286562817609,0.0
-119.22619105195389,739.7031011610287,0.0
-99.89341706929899,737.0111042082196,0.0
-80.31325232251204,727.8322911230173,0.0
-40.06612210129806,698.8524206581558,0.0
-20.320793372631904,696.2035013964716,0.0
-2.8286526841414075,691.4942145267685,0.0
14.284224517762661,689.1019688187853,0.0
30.24147354215473,688.3360031830379,0.0
47.753172978223176,685.5889416921133,0.0
2411.8228088636156,9974.04095583356,0.0
2677.674238710427,9960.61312037801,0.0
2936.2139698987044,9922.428008580948,0.0
2123.750649646451,1344.8502669911902,0.0
3256.0258839329517,1638.9456994234554,0.0
2155.6718115722515,940.1101548716547,0.0
2145.472059446557,870.9132517846706,0.0
2138.1057244415124,806.0576351046092,0.0
2135.127444835275,742.3550661989111,0.0
0.0,0.0,0.0
3841.321771726555,234.05126658472736,20.47683251004755
3859.323444861634,136.3572236102054,11.92971125576244
3845.2935186105865,39.69814912273864,3.473138011201236
2317.3651466474294,-339.22417354680937,-29.678269579296455
2147.4629226826432,-429.1715652661308,-37.54764666846265
2152.070715238176,-486.34016934300763,-42.549251434791294
2160.173390008929,-546.526509359482,-47.81487388534948
2175.5018699022776,-608.0313034761826,-53.195846123056725
2224.7080708536087,-805.9618759355299,-70.51252737844608
2230.0043609747854,-872.2813050788359,-76.31472559999614
2231.9561685738727,-938.7988009394994,-82.13425241393676
1652.662342411181,-803.5458480740781,-70.30115232980627
2271.285410688078,-1732.268530321792,-151.55385858587013
1638.0536346127103,-1796.494097489801,-157.17286762159372
1633.6881053669997,-1882.5357651637794,-164.70053813393176
1631.4084038795797,-1979.2115327200165,-173.15857183276984
1245.2072571091971,-1688.8867865977704,-147.75844780603134
1204.714461902192,-1722.9483589768715,-150.73844925107042
1158.7443159439554,-1749.1873110722609,-153.03406010221676
1113.2253748816777,-1777.9888941135587,-155.55387210993084
774.3910684259969,-1396.2087301223166,-122.152435801629
748.517381530638,-1434.3264027328066,-125.48730003503947
723.7919951794659,-1476.3022990594218,-129.15971510495777
782.4804225406865,-3274.386949358601,-286.4717380661114
415.82698528784437,-3830.699323676043,-335.14276419807794
316.94342601688993,-3837.8246711294396,-335.76615132393346
217.51605268378805,-3816.002731511564,-333.8569789912221
120.64021460736238,-3797.8345579623397,-332.26746976869345
23.9270117953076,-3800.1589714213915,-332.4708295957075
-74.75037562072822,-3792.0311732840873,-331.7597393992663
-170.2636347718678,-3789.964874421648,-331.5789616733463
-267.1062615851919,-3790.407238381318,-331.6176635049699
-363.07997139019125,-3777.977998008508,-330.5302458761103
-458.74360458295433,-3764.3766461462933,-329.3402817795393
-555.7042472901322,-3753.150912572536,-328.3581573520732
-654.2669957791617,-3762.3761018706205,-329.16525683453625
-710.8556449853903,-3113.792065137052,-272.42150627646754
-797.9001907443669,-3126.2105922136484,-273.50798661335944
-882.6669405673905,-3127.5834599692666,-273.6280969784964
-1249.4970622985222,-3730.282052927832,-326.3573913853961
-1331.795803426869,-3663.7966463161533,-320.54067201696273
-1556.060669059014,-3688.198971331953,-322.67559881952025
-1665.9783459134192,-3684.2615088286316,-322.3311154874212
-1778.063132988672,-3682.5392409850156,-322.18043657554955
-1981.3173325984378,-3625.8089974663603,-317.2171833886022
-2103.242906116446,-3626.7766773549265,-317.3018444087738
-2232.345514709456,-3633.4414448173707,-317.8849360067741
-2363.2072524162745,-3638.1913466361266,-318.3004985687764
-1081.0334257228026,-1253.970258723928,-109.70818203701361
-1136.1036578487476,-1249.4118623860907,-109.30937403359474
-1186.6942751907538,-1241.0031016443938,-108.57370279439444
-1238.078087120295,-1230.6789681447367,-107.6704581524462
-1294.874797099386,-1226.1216427457284,-107.27174384403422
-1356.836539378353,-1221.0628105859344,-106.82915337937189
-1419.304196020929,-1215.612131412854,-106.35228074321049
-1481.1046375926228,-1204.1670519313457,-105.35096603542534
-1545.0159474946774,-1193.7423490476417,-104.43892271247525
-1615.1807429885148,-1183.8459959410918,-103.57310400540257
-1689.7943314259985,-1174.6041103372356,-102.76454378546173
-2110.4498161503284,-1320.1235860900586,-115.4958482360693
-2101.4461176303894,-1241.6098415499969,-108.62678565784348
-2126.161107688092,-1185.4177753433378,-103.71061688466264
-2735.4459528510165,-1103.5805125201218,-96.5507841336397
-743.6634870402048,-96.91606490012113,-8.47905699230331
-728.8396791706455,-75.31182217329,-6.58893066964319
-722.5313177966441,-56.45055991949954,-4.938784042647106
-724.1607291014461,-39.582927638644406,-3.4630574375483576
-5685.635238035425,678.2110789543955,59.33578088619498
-3963.7719553307106,685.1624691597029,59.94394872490453
-3955.4110463645147,789.3731718417157,69.06120382765124
-325.06774503036524,135.17089639285643,11.825921073012152
-318.9782258609532,141.6855535772144,12.395879723401187
-313.40049785316353,148.39331719890285,12.982732997910523
-306.4382879828295,156.804417752785,13.718608944151832
-301.4394189592326,161.98666979564152,14.171997249435835
-296.0230139563621,168.12076905646748,14.708661395700858
-289.4713357982143,176.71324682643024,15.460405792171112
-283.17687192886115,184.29311590201064,16.12355840729512
-277.46999673552506,190.52962831258174,16.669182543158826
-271.99119503086814,196.5227037371978,17.19350870246854
-267.77693760355754,201.35892400498125,17.616623150213904
-261.62786107716795,208.8291769044699,18.270185592590828
-256.34565258230487,215.23216741867847,18.830374675248102
-251.2140095996335,221.5313287516558,19.381479881604466
