x,y,z
1545.818,0.0,23.744
1533.819,0.0,23.56
1535.826,21.723,7.882
1545.825,21.864,7.932
1535.826,21.723,7.882
1527.369,43.213,-7.79
1525.369,43.156,-7.78
1525.369,43.156,-7.78
1520.452,64.549,-23.325
1524.448,64.718,-23.387
1528.443,64.888,-23.447
1527.053,86.486,-39.089
1527.053,86.486,-39.089
1527.053,86.486,-39.089
1527.192,108.2,-54.788
1533.173,108.624,-55.004
1537.16,108.906,-55.146
1538.804,130.953,-71.065
1540.795,131.123,-71.156
1538.804,130.953,-71.065
1537.978,152.875,-86.931
1543.939,153.468,-87.268
1547.913,153.863,-87.492
1558.486,177.288,-104.271
1701.045,218.038,-131.549
2270.697,291.056,-175.604
2264.44,323.083,-198.861
2256.55,321.957,-198.168
2391.211,376.04,-235.211
2886.759,453.97,-283.955
2894.624,455.207,-284.728
2888.755,496.682,-314.812
2896.594,498.03,-315.666
2885.882,538.846,-345.348
2885.882,538.846,-345.348
2885.882,538.846,-345.348
2878.18,580.282,-375.431
2882.071,581.066,-375.939
2878.18,580.282,-375.431
2865.697,620.812,-404.933
2873.443,622.489,-406.028
2877.316,623.328,-406.574
2860.051,662.939,-435.485
2856.196,662.046,-434.898
2863.905,663.833,-436.072
2849.622,704.135,-465.437
2845.787,703.187,-464.81
2849.622,704.135,-465.437
2842.101,746.226,-495.991
2845.916,747.228,-496.657
2826.044,786.195,-525.142
1480.196,531.972,-361.968
1304.946,491.099,-335.103
1306.766,491.784,-335.57
1297.986,510.826,-349.475
1299.791,511.536,-349.961
1317.844,518.641,-354.822
2746.364,1177.829,-809.582
2753.46,1180.872,-811.674
2757.008,1182.394,-812.72
2731.557,1221.024,-841.047
2738.588,1224.167,-843.211
2745.619,1227.31,-845.377
2722.682,1267.385,-874.71
2726.165,1269.006,-875.829
2736.61,1273.868,-879.184
2709.188,1312.181,-907.313
612.362,320.418,-222.31
603.796,328.074,-227.978
602.128,327.168,-227.348
600.46,326.262,-226.719
593.436,334.654,-232.895
593.436,334.654,-232.895
593.436,334.654,-232.895
586.232,342.944,-239.001
586.232,342.944,-239.001
584.603,341.991,-238.338
580.457,352.105,-245.715
522.095,328.276,-229.38
515.748,324.285,-226.591
502.505,327.4,-229.046
497.809,324.34,-226.905
493.112,321.28,-224.765
483.109,326.072,-228.384
480.022,323.989,-226.924
471.525,329.615,-231.123
470.005,328.551,-230.378
468.483,327.488,-229.633
461.432,334.013,-234.46
461.432,334.013,-234.46
462.931,335.098,-235.221
455.717,341.542,-239.991
457.191,342.647,-240.769
458.666,343.752,-241.545
452.716,351.259,-247.065
455.618,353.511,-248.649
457.069,354.637,-249.441
452.288,363.284,-255.768
456.567,366.722,-258.188
463.701,372.452,-262.222
464.095,385.89,-271.934
466.899,388.222,-273.577
469.703,390.554,-275.221
464.049,399.447,-281.739
464.049,399.447,-281.739
468.18,403.003,-284.247
462.205,411.909,-290.78
462.205,411.909,-290.78
460.854,410.705,-289.929
445.384,410.98,-290.366
440.081,406.088,-286.91
442.732,408.534,-288.637
435.236,415.911,-294.088
437.834,418.394,-295.844
440.433,420.877,-297.6
435.188,430.755,-304.823
440.278,435.793,-308.388
444.096,439.572,-311.062
439.612,450.826,-319.27
444.593,455.934,-322.888
449.576,461.043,-326.506
444.52,472.436,-334.822
449.391,477.614,-338.492
445.057,490.378,-347.789
449.818,495.623,-351.509
440.307,503.159,-357.105
441.469,504.487,-358.047
444.955,508.47,-360.874
436.273,517.293,-367.388
438.538,519.98,-369.296
441.938,524.011,-372.159
432.864,532.819,-378.668
435.073,535.537,-380.6
324.643,415.078,-295.184
258.21,343.135,-244.177
247.267,341.768,-243.357
244.728,338.259,-240.859
235.474,338.781,-241.378
233.504,335.946,-239.358
232.518,334.528,-238.348
223.883,335.567,-239.233
222.451,333.421,-237.702
221.018,331.274,-236.171
212.038,331.41,-236.407
210.652,329.244,-234.862
202.67,330.665,-236.013
202.223,329.936,-235.493
202.67,330.665,-236.013
196.41,334.898,-239.171
196.41,334.898,-239.171
195.549,333.429,-238.121
187.954,335.351,-239.628
187.539,334.611,-239.099
187.539,334.611,-239.099
181.132,338.652,-242.12
181.132,338.652,-242.12
181.132,338.652,-242.12
173.457,340.358,-243.472
173.457,340.358,-243.472
173.839,341.109,-244.009
166.494,343.463,-245.823
167.228,344.976,-246.907
169.062,348.758,-249.614
161.901,351.803,-251.925
162.252,352.565,-252.471
161.901,351.803,-251.925
154.994,355.517,-254.718
157.333,360.88,-258.56
157.666,361.646,-259.109
149.243,362.223,-259.656
150.831,366.076,-262.417
152.736,370.701,-265.733
145.957,375.846,-269.557
139.854,383.247,-275.004
142.128,389.479,-279.475
135.345,396.065,-284.342
136.95,400.761,-287.714
138.021,403.892,-289.961
130.325,408.864,-293.675
130.826,410.437,-294.805
132.832,416.727,-299.323
126.195,426.373,-306.4
126.661,427.952,-307.535
127.596,431.11,-309.805
129.466,437.427,-314.344
121.779,445.464,-320.274
123.08,450.22,-323.694
124.813,456.561,-328.253
117.377,467.731,-336.444
118.575,472.503,-339.877
119.373,475.685,-342.166
109.494,478.823,-344.587
110.224,482.015,-346.884
110.954,485.207,-349.181
102.158,494.63,-356.131
103.481,501.033,-360.741
104.142,504.234,-363.046
93.876,508.761,-366.477
95.652,518.391,-373.414
86.582,532.452,-383.722
102.276,628.969,-453.279
90.092,639.892,-461.365
91.454,649.563,-468.338
93.042,660.846,-476.472
79.964,671.644,-484.483
81.693,686.175,-494.965
83.616,702.32,-506.611
127.784,1686.452,-1217.623
126.189,1665.412,-1202.433
124.228,1639.516,-1183.736
88.48,1632.668,-1179.332
88.217,1627.808,-1175.822
87.251,1609.992,-1162.952
52.949,1622.071,-1172.215
52.738,1615.589,-1167.531
17.674,1591.525,-1150.666
16.9,1521.835,-1100.281
-15.857,1519.982,-1099.444
-15.874,1521.603,-1100.617
-15.671,1502.157,-1086.551
-47.4,1482.034,-1072.486
-47.348,1480.415,-1071.315
-47.348,1480.415,-1071.315
-79.144,1477.669,-1069.817
-79.058,1476.05,-1068.645
-78.884,1472.813,-1066.301
-110.481,1469.625,-1064.481
-110.481,1469.625,-1064.481
-110.36,1468.008,-1063.31
-142.132,1467.608,-1063.508
-142.132,1467.608,-1063.508
-141.82,1464.379,-1061.168
-173.167,1460.308,-1058.706
-172.975,1458.696,-1057.537
-173.167,1460.308,-1058.706
-205.068,1460.624,-1059.424
-204.616,1457.407,-1057.091
-204.391,1455.798,-1055.925
-235.743,1452.457,-1053.99
-235.223,1449.247,-1051.661
-266.14,1443.871,-1048.247
-266.14,1443.871,-1048.247
-266.435,1445.472,-1049.41
-297.896,1442.852,-1047.999
-297.566,1441.256,-1046.84
-297.566,1441.256,-1046.84
-328.242,1435.01,-1042.793
-327.879,1433.419,-1041.638
-328.242,1435.01,-1042.793
-359.547,1431.509,-1040.743
-359.547,1431.509,-1040.743
-359.149,1429.923,-1039.59
-389.946,1424.401,-1036.069
-391.242,1429.139,-1039.515
-391.674,1430.718,-1040.664
-422.488,1424.735,-1036.811
-422.488,1424.735,-1036.811
-422.023,1423.163,-1035.667
-452.174,1415.188,-1030.362
-452.673,1416.753,-1031.502
-452.673,1416.753,-1031.502
-482.653,1408.354,-1025.889
-483.721,1411.47,-1028.158
-485.323,1416.144,-1031.563
-516.958,1411.941,-1029.01
-517.526,1413.491,-1030.139
-516.958,1411.941,-1029.01
-549.171,1408.816,-1027.244
-550.373,1411.899,-1029.492
-579.515,1400.613,-1021.778
-578.88,1399.08,-1020.66
-578.88,1399.08,-1020.66
-610.348,1393.506,-1017.112
-611.015,1395.029,-1018.224
-614.35,1402.643,-1023.782
-704.047,1522.129,-1111.568
-709.646,1534.234,-1120.407
-748.551,1535.743,-1122.097
-716.323,1469.625,-1073.787
-746.447,1456.055,-1064.437
-747.977,1459.039,-1066.617
-742.743,1379.901,-1009.307
-732.383,1360.653,-995.23
-728.399,1353.251,-989.815
-756.717,1341.06,-981.434
-757.546,1342.529,-982.508
-756.717,1341.06,-981.434
-787.323,1332.856,-975.97
-792.486,1341.596,-982.37
-796.788,1348.879,-987.704
-829.408,1342.968,-983.93
-831.192,1345.856,-986.046
-977.605,1286.466,-945.346
-1051.476,1280.469,-942.143
-904.133,882.725,-652.245
-247.717,209.85,-155.561
-246.341,208.684,-154.698
-248.734,203.416,-150.924
-246.633,201.697,-149.649
-245.231,200.551,-148.799
-248.125,195.895,-145.476
-247.412,195.332,-145.058
-250.895,191.219,-142.137
-250.17,190.666,-141.726
-248.719,189.561,-140.905
-252.067,185.442,-137.978
-252.067,185.442,-137.978
-252.067,185.442,-137.978
-255.312,181.288,-135.023
-255.312,181.288,-135.023
-255.312,181.288,-135.023
-257.697,176.579,-131.654
-257.697,176.579,-131.654
-259.218,177.621,-132.431
-263.045,173.899,-129.798
-263.045,173.899,-129.798
-263.816,174.409,-130.179
-268.356,171.123,-127.873
-268.356,171.123,-127.873
-269.138,171.622,-128.246
-273.628,168.25,-125.875
-274.422,168.737,-126.241
-275.215,169.225,-126.605
-279.664,165.756,-124.165
-801.124,376.812,-284.803
-797.679,375.191,-283.578
-792.509,372.76,-281.741
-798.801,360.65,-273.079
-613.677,254.58,-193.53
-617.224,256.052,-194.648
-620.772,257.523,-195.767
-628.109,249.374,-189.987
-626.32,248.663,-189.446
-626.32,248.663,-189.446
-631.678,239.728,-183.066
-628.069,238.358,-182.02
-626.264,237.673,-181.497
-629.566,228.082,-174.612
-629.566,228.082,-174.612
-627.746,227.423,-174.107
-630.813,217.84,-167.224
-630.813,217.84,-167.224
-633.66,208.243,-160.328
-425.717,-105.194,69.534
-421.882,-104.246,68.907
-416.778,-109.43,72.735
-413.917,-108.679,72.234
-412.009,-108.178,71.902
-408.734,-113.708,75.952
-407.785,-113.444,75.775
-408.734,-113.708,75.952
-406.287,-119.454,80.145
-407.229,-119.731,80.33
-407.229,-119.731,80.33
-405.589,-125.744,84.705
-405.589,-125.744,84.705
-406.526,-126.035,84.9
-403.814,-131.746,89.072
-403.814,-131.746,89.072
-404.744,-132.049,89.277
-401.902,-137.733,93.43
-402.826,-138.05,93.645
-399.855,-143.705,97.78
-400.771,-144.035,98.005
-400.771,-144.035,98.005
-398.582,-150.001,102.354
-398.582,-150.001,102.354
-399.492,-150.343,102.588
-397.158,-156.303,106.933
-397.158,-156.303,106.933
-398.061,-156.658,107.175
-395.584,-162.608,111.517
-396.479,-162.976,111.769
-396.479,-162.976,111.769
-393.859,-168.913,116.103
-394.746,-169.294,116.364
-395.633,-169.674,116.626
-391.98,-175.218,120.691
-392.859,-175.611,120.962
-393.738,-176.003,121.232
-390.819,-181.923,125.557
-390.819,-181.923,125.557
-391.69,-182.328,125.837
-389.489,-188.647,130.44
-389.489,-188.647,130.44
-390.351,-189.064,130.729
-387.134,-194.956,135.039
-387.986,-195.386,135.337
-388.839,-195.815,135.634
-386.31,-202.137,140.245
-387.154,-202.578,140.552
-387.997,-203.02,140.858
-384.461,-208.898,145.162
-385.295,-209.351,145.478
-386.129,-209.804,145.793
-382.437,-215.666,150.088
-383.261,-216.131,150.412
-384.909,-217.06,151.058
-381.051,-222.914,155.351
-381.865,-223.39,155.683
-377.86,-229.21,159.953
-378.663,-229.697,160.293
-380.272,-230.673,160.974
-381.075,-231.16,161.314
-377.686,-237.477,165.934
-378.479,-237.975,166.283
-374.922,-244.275,170.893
-375.704,-244.785,171.25
-390.576,-254.474,178.028
-388.184,-262.004,183.51
-388.184,-262.004,183.51
-379.502,-265.287,186.017
-374.939,-262.097,183.78
-374.178,-261.565,183.408
-370.045,-267.861,188.024
-371.543,-268.946,188.786
-373.041,-270.03,189.547
-368.703,-276.328,194.168
-370.178,-277.434,194.945
-372.39,-279.091,196.11
-367.831,-285.398,200.74
-369.283,-286.524,201.532
-370.734,-287.65,202.324
-365.968,-293.951,206.954
-366.681,-294.524,207.358
-369.534,-296.816,208.971
-364.546,-303.116,213.604
-365.948,-304.282,214.426
